AA  CC  00  09  C0  00  00  FF  FF  07  03  02  D1    = 03/29/2018 10:13:03
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 11:43:54
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 11:43:56
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:45:17
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:45:21
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 11:45:22
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 11:45:26
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 11:45:27
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:47:46
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:49:28
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:49:30
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 11:49:33
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 11:49:35
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:50:34
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:50:34
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:51:27
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:52:03
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:52:06
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:52:51
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:52:52
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 11:52:55
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 11:52:59
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 11:52:59
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:53:41
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:53:45
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:54:42
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:54:46
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 11:54:48
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:55:28
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 11:55:30
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:56:03
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:56:05
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:57:15
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 11:57:17
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 11:58:34
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:11:50
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:11:52
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:11:55
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:14:12
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:15:05
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:15:07
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:18:22
AA  CC  00  09  83  00  04  00  00  00  0A  00  9A    = 03/29/2018 12:28:25
AA  CC  00  09  83  00  04  00  00  00  0B  00  9B    = 03/29/2018 12:28:25
AA  CC  00  09  83  00  04  00  00  00  0C  00  9C    = 03/29/2018 12:28:25
AA  CC  00  09  83  00  04  00  00  00  0D  00  9D    = 03/29/2018 12:28:25
AA  CC  00  09  83  00  04  00  00  00  0E  00  9E    = 03/29/2018 12:28:25
AA  CC  00  09  83  00  04  00  00  00  0F  00  9F    = 03/29/2018 12:28:27
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:28:52
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:28:56
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:28:58
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:28:58
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:28:59
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:31:30
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:31:30
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:31:30
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 12:31:34
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 12:31:34
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:36:38
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:36:38
AA  CC  00  09  83  00  04  00  00  00  07  00  97    = 03/29/2018 12:36:38
AA  CC  00  09  83  00  04  00  00  00  08  00  98    = 03/29/2018 12:36:38
AA  CC  00  09  83  00  04  00  00  00  09  00  99    = 03/29/2018 12:36:38
AA  CC  00  09  83  00  04  00  00  00  0C  00  9C    = 03/29/2018 12:36:38
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:37:27
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:37:44
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:37:44
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 12:37:44
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 12:37:44
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:38:37
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:38:37
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:38:37
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 12:38:37
AA  CC  00  09  83  00  04  00  00  00  05  00  95    = 03/29/2018 12:38:37
AA  CC  00  09  83  00  04  00  00  00  06  00  96    = 03/29/2018 12:38:37
AA  CC  00  09  83  00  04  00  00  00  07  00  97    = 03/29/2018 12:38:37
AA  CC  00  09  83  00  04  00  00  00  08  00  98    = 03/29/2018 12:38:37
AA  CC  00  09  83  00  04  00  00  00  09  00  99    = 03/29/2018 12:38:37
AA  CC  00  09  83  00  04  00  00  00  0A  00  9A    = 03/29/2018 12:38:51
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:40:01
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:42:43
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:42:43
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:42:43
AA  CC  00  09  83  00  04  00  00  00  09  00  99    = 03/29/2018 12:42:43
AA  CC  00  09  83  00  04  00  00  00  0A  00  9A    = 03/29/2018 12:42:43
AA  CC  00  09  83  00  04  00  00  00  0B  00  9B    = 03/29/2018 12:42:43
AA  CC  00  09  83  00  04  00  00  00  0C  00  9C    = 03/29/2018 12:42:55
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:46:23
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:46:23
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:46:23
AA  CC  00  09  83  00  04  00  00  00  0C  00  9C    = 03/29/2018 12:46:23
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:52:25
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:52:25
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 12:52:25
AA  CC  00  09  83  00  04  00  00  00  0A  00  9A    = 03/29/2018 12:52:25
AA  CC  00  09  83  00  04  00  00  00  0B  00  9B    = 03/29/2018 12:52:25
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 12:57:58
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 12:57:58
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 12:57:58
AA  CC  00  09  83  00  04  00  00  00  0B  00  9B    = 03/29/2018 13:05:14
AA  CC  00  09  83  00  04  00  00  00  0C  00  9C    = 03/29/2018 13:05:14
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 13:05:29
AA  CC  00  09  C0  00  04  FF  FF  0F  7A  03  54    = 03/29/2018 13:06:58
AA  CC  00  09  C0  00  04  FF  FF  0F  7B  03  55    = 03/29/2018 13:07:19
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 13:10:34
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 13:10:34
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 13:10:36
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 13:10:52
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 13:25:44
AA  CC  00  09  83  00  04  00  00  00  0C  00  9C    = 03/29/2018 13:28:00
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 13:28:01
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 13:28:01
AA  CC  00  09  83  00  04  00  00  00  0B  00  9B    = 03/29/2018 13:28:01
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 13:29:07
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 13:29:51
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 13:29:51
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 13:29:51
AA  CC  00  09  83  00  04  00  00  00  0A  00  9A    = 03/29/2018 13:29:51
AA  CC  00  09  83  00  04  00  00  00  0B  00  9B    = 03/29/2018 13:29:51
AA  CC  00  09  83  00  04  00  00  00  0C  00  9C    = 03/29/2018 13:29:51
AA  CC  00  09  83  00  04  00  00  00  0D  00  9D    = 03/29/2018 13:31:24
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 13:34:13
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 13:34:13
AA  CC  00  09  83  00  04  00  00  00  06  00  96    = 03/29/2018 13:34:13
AA  CC  00  09  83  00  04  00  00  00  08  00  98    = 03/29/2018 13:34:13
AA  CC  00  09  83  00  04  00  00  00  06  00  96    = 03/29/2018 14:21:38
AA  CC  00  09  83  00  04  00  00  00  06  00  96    = 03/29/2018 14:21:38
AA  CC  00  09  83  00  04  00  00  00  07  00  97    = 03/29/2018 14:21:38
AA  CC  00  09  83  00  04  00  00  00  08  00  98    = 03/29/2018 14:21:38
AA  CC  00  09  83  00  04  00  00  00  09  00  99    = 03/29/2018 14:21:40
AA  CC  00  09  83  00  04  00  00  00  07  00  97    = 03/29/2018 14:24:01
AA  CC  00  09  83  00  04  00  00  00  08  00  98    = 03/29/2018 14:24:01
AA  CC  00  09  83  00  04  00  00  00  0A  00  9A    = 03/29/2018 14:24:01
AA  CC  00  09  83  00  04  00  00  00  0B  00  9B    = 03/29/2018 14:24:15
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 14:27:36
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 14:28:39
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 14:28:39
AA  CC  00  09  83  00  04  00  00  00  09  00  99    = 03/29/2018 14:28:39
AA  CC  00  09  83  00  04  00  00  00  0A  00  9A    = 03/29/2018 14:29:11
AA  CC  00  09  83  00  04  00  00  00  0B  00  9B    = 03/29/2018 14:29:11
AA  CC  00  09  83  00  04  00  00  00  0C  00  9C    = 03/29/2018 14:29:11
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 14:29:11
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 14:30:31
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 14:30:31
AA  CC  00  09  83  00  04  00  00  00  09  00  99    = 03/29/2018 14:30:31
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 14:31:44
AA  CC  00  09  83  00  04  00  00  00  0A  00  9A    = 03/29/2018 14:31:44
AA  CC  00  09  83  00  04  00  00  00  0B  00  9B    = 03/29/2018 14:31:44
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 14:32:18
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 14:32:21
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 14:32:21
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 14:32:23
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 14:33:04
AA  CC  00  09  83  00  04  00  00  00  05  00  95    = 03/29/2018 14:33:04
AA  CC  00  09  83  00  04  00  00  00  06  00  96    = 03/29/2018 14:33:04
AA  CC  00  09  83  00  04  00  00  00  07  00  97    = 03/29/2018 14:33:04
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 14:33:05
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 14:49:22
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 14:49:23
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 14:54:26
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 15:06:12
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 15:12:10
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 15:12:14
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 15:12:15
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 15:13:28
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 15:27:36
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 15:37:21
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 15:37:22
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 15:54:59
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 16:08:09
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 16:08:11
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 16:10:06
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 16:11:38
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 16:14:21
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 16:18:30
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 16:18:32
AA  CC  00  09  83  00  04  00  00  00  00  00  90    = 03/29/2018 16:19:37
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 16:19:41
AA  CC  00  09  83  00  04  00  00  00  04  00  94    = 03/29/2018 16:19:47
AA  CC  00  09  83  00  04  00  00  00  01  00  91    = 03/29/2018 16:21:04
AA  CC  00  09  83  00  04  00  00  00  02  00  92    = 03/29/2018 16:21:05
AA  CC  00  09  83  00  04  00  00  00  03  00  93    = 03/29/2018 16:21:08
AA  CC  00  09  83  00  04  00  00  00  05  00  95    = 03/29/2018 16:21:14
AA  CC  00  09  83  00  04  00  00  00  06  00  96    = 03/29/2018 16:21:15
